iter	Passed	Remaining
0	151	151531
1	153	76795
2	155	51722
3	157	39194
4	159	31683
5	162	26855
6	163	23204
7	164	20413
8	165	18246
9	166	16499
10	167	15069
11	168	13879
12	169	12869
13	170	12002
14	171	11237
15	171	10567
16	172	10001
17	173	9492
18	175	9042
19	176	8630
20	176	8242
21	177	7889
22	178	7566
23	178	7269
24	179	6998
25	180	6744
26	180	6510
27	181	6292
28	181	6090
29	182	5904
30	183	5730
31	183	5565
32	184	5411
33	185	5264
34	186	5128
35	186	4997
36	187	4882
37	188	4772
38	189	4666
39	190	4565
40	190	4466
41	191	4370
42	192	4276
43	192	4187
44	193	4102
45	193	4020
46	194	3942
47	195	3868
48	195	3796
49	196	3727
50	196	3661
51	197	3597
52	197	3536
53	198	3476
54	198	3418
55	199	3365
56	200	3312
57	201	3266
58	202	3223
59	202	3178
60	203	3133
61	204	3089
62	204	3046
63	205	3005
64	206	2965
65	206	2928
66	207	2895
67	208	2862
68	209	2828
69	210	2794
70	210	2759
71	211	2725
72	212	2692
73	212	2659
74	213	2628
75	213	2599
76	214	2570
77	214	2541
78	215	2515
79	216	2493
80	217	2470
81	219	2452
82	219	2424
83	220	2400
84	220	2376
85	221	2351
86	221	2328
87	222	2305
88	223	2282
89	223	2260
90	224	2239
91	224	2218
92	225	2197
93	225	2176
94	226	2156
95	226	2136
96	227	2117
97	228	2098
98	228	2080
99	229	2063
100	229	2045
101	230	2032
102	231	2017
103	232	2004
104	233	1989
105	234	1974
106	234	1958
107	235	1942
108	235	1926
109	236	1911
110	236	1896
111	237	1882
112	238	1868
113	238	1854
114	239	1840
115	239	1827
116	240	1812
117	240	1800
118	241	1788
119	242	1776
120	242	1764
121	243	1751
122	243	1739
123	244	1728
124	245	1719
125	246	1710
126	247	1700
127	248	1690
128	248	1678
129	249	1667
130	249	1656
131	250	1645
132	250	1635
133	251	1624
134	251	1614
135	252	1604
136	253	1594
137	253	1584
138	254	1574
139	254	1565
140	255	1556
141	255	1545
142	256	1536
143	256	1527
144	257	1519
145	258	1510
146	258	1501
147	259	1494
148	260	1488
149	261	1481
150	262	1476
151	263	1469
152	263	1461
153	264	1453
154	265	1445
155	265	1437
156	266	1429
157	266	1421
158	267	1414
159	267	1406
160	268	1398
161	268	1390
162	269	1383
163	270	1376
164	270	1369
165	271	1362
166	271	1355
167	272	1348
168	272	1341
169	273	1335
170	274	1330
171	275	1326
172	276	1321
173	277	1315
174	277	1309
175	278	1303
176	278	1296
177	279	1290
178	279	1284
179	280	1278
180	281	1271
181	281	1265
182	282	1259
183	282	1254
184	283	1248
185	284	1243
186	284	1237
187	285	1232
188	285	1226
189	286	1221
190	287	1215
191	287	1210
192	288	1204
193	289	1200
194	290	1197
195	290	1193
196	291	1188
197	292	1184
198	292	1179
199	293	1173
200	294	1168
201	294	1164
202	295	1159
203	295	1154
204	296	1149
205	296	1144
206	297	1139
207	298	1134
208	298	1130
209	299	1125
210	299	1120
211	300	1116
212	300	1111
213	301	1107
214	301	1102
215	302	1098
216	303	1094
217	304	1091
218	305	1088
219	305	1084
220	306	1079
221	307	1076
222	307	1072
223	308	1068
224	309	1064
225	310	1062
226	310	1058
227	311	1056
228	312	1052
229	313	1048
230	313	1044
231	314	1040
232	314	1036
233	315	1032
234	315	1028
235	316	1024
236	317	1020
237	317	1016
238	318	1015
239	319	1012
240	320	1009
241	321	1006
242	321	1002
243	322	998
244	322	995
245	323	991
246	324	987
247	324	984
248	325	980
249	325	977
250	326	973
251	326	970
252	327	966
253	328	963
254	328	959
255	329	956
256	329	953
257	330	950
258	330	946
259	331	943
260	332	940
261	332	937
262	333	935
263	334	933
264	335	930
265	336	927
266	336	924
267	337	920
268	337	918
269	338	914
270	338	911
271	339	908
272	340	905
273	340	902
274	341	899
275	341	896
276	342	893
277	342	890
278	343	887
279	343	884
280	344	881
281	345	878
282	345	875
283	346	872
284	346	869
285	347	868
286	348	866
287	349	864
288	350	862
289	351	860
290	351	857
291	352	854
292	353	851
293	353	849
294	354	846
295	354	843
296	355	840
297	355	838
298	356	835
299	356	832
300	357	830
301	358	827
302	358	824
303	359	822
304	359	819
305	360	817
306	360	814
307	361	811
308	362	810
309	363	808
310	364	806
311	364	804
312	365	802
313	366	799
314	366	797
315	367	794
316	367	792
317	368	790
318	369	788
319	370	786
320	370	784
321	371	782
322	372	780
323	373	778
324	373	776
325	374	773
326	374	771
327	375	769
328	377	769
329	378	767
330	379	766
331	380	765
332	381	763
333	381	761
334	382	759
335	383	757
336	383	755
337	384	753
338	385	751
339	385	749
340	386	746
341	387	744
342	387	742
343	388	740
344	389	738
345	389	736
346	390	734
347	391	734
348	392	732
349	393	730
350	394	728
351	394	727
352	395	725
353	397	724
354	397	723
355	399	721
356	400	720
357	401	719
358	402	718
359	403	716
360	403	714
361	404	712
362	404	710
363	405	708
364	407	708
365	408	707
366	409	706
367	410	704
368	410	702
369	411	700
370	412	698
371	412	697
372	413	695
373	414	693
374	414	691
375	415	689
376	416	687
377	416	685
378	417	683
379	418	682
380	418	680
381	419	678
382	421	678
383	423	678
384	424	677
385	424	675
386	425	674
387	426	672
388	426	670
389	427	668
390	428	666
391	428	665
392	429	663
393	430	661
394	430	659
395	431	657
396	431	655
397	432	654
398	433	652
399	433	650
400	434	649
401	436	648
402	437	648
403	438	646
404	439	645
405	439	643
406	440	641
407	441	640
408	441	638
409	442	636
410	443	635
411	443	633
412	444	631
413	445	629
414	445	628
415	446	626
416	446	624
417	447	623
418	448	621
419	448	619
420	450	619
421	452	619
422	452	617
423	453	616
424	454	614
425	454	612
426	455	611
427	456	609
428	456	608
429	457	606
430	458	604
431	458	603
432	459	601
433	460	600
434	460	598
435	461	596
436	462	595
437	462	593
438	463	592
439	464	591
440	466	591
441	467	590
442	468	589
443	470	588
444	471	587
445	472	586
446	473	586
447	474	584
448	475	583
449	475	581
450	476	579
451	477	578
452	477	576
453	478	575
454	480	575
455	481	574
456	482	573
457	483	572
458	484	570
459	484	569
460	485	567
461	486	566
462	486	564
463	487	563
464	488	561
465	488	560
466	489	558
467	490	557
468	490	555
469	491	554
470	492	552
471	492	551
472	493	550
473	494	548
474	495	547
475	496	546
476	497	545
477	497	543
478	498	542
479	499	541
480	500	540
481	502	540
482	503	538
483	504	537
484	504	536
485	505	534
486	506	533
487	507	532
488	509	532
489	510	531
490	511	530
491	512	528
492	515	529
493	516	529
494	517	527
495	518	526
496	519	525
497	519	524
498	521	523
499	533	533
500	534	531
501	549	544
502	549	543
503	557	548
504	558	547
505	559	546
506	563	548
507	566	548
508	567	547
509	568	545
510	569	544
511	570	543
512	574	545
513	575	543
514	576	542
515	577	541
516	578	540
517	578	538
518	579	537
519	580	535
520	600	551
521	601	550
522	609	555
523	610	554
524	611	553
525	612	552
526	613	550
527	614	549
528	615	547
529	616	546
530	625	552
531	627	552
532	628	551
533	629	549
534	630	548
535	631	546
536	642	554
537	643	552
538	644	551
539	645	549
540	645	547
541	646	546
542	647	544
543	647	543
544	650	542
545	651	541
546	653	541
547	655	540
548	656	539
549	657	538
550	658	536
551	659	535
552	660	533
553	660	531
554	661	530
555	670	535
556	672	534
557	673	533
558	674	531
559	674	530
560	675	528
561	676	527
562	680	528
563	682	527
564	683	525
565	684	524
566	685	523
567	686	521
568	686	520
569	688	519
570	689	517
571	690	516
572	691	515
573	694	515
574	696	514
575	697	513
576	698	511
577	698	510
578	699	508
579	700	507
580	701	505
581	701	504
582	702	502
583	703	500
584	703	499
585	704	497
586	705	496
587	705	494
588	708	494
589	710	493
590	711	492
591	712	490
592	713	489
593	713	488
594	714	486
595	715	484
596	715	483
597	716	481
598	716	479
599	717	478
600	718	476
601	718	475
602	719	473
603	719	471
604	720	470
605	721	468
606	722	468
607	724	466
608	725	465
609	726	464
610	726	462
611	727	461
612	728	459
613	728	458
614	729	456
615	729	454
616	730	453
617	730	451
618	731	450
619	732	448
620	732	447
621	733	445
622	733	443
623	734	442
624	734	440
625	735	439
626	737	438
627	738	437
628	739	436
629	740	434
630	741	433
631	741	431
632	742	430
633	743	429
634	744	427
635	744	426
636	745	424
637	745	423
638	746	421
639	746	420
640	747	418
641	747	417
642	748	415
643	749	414
644	749	412
645	750	411
646	752	410
647	753	409
648	754	408
649	755	406
650	756	405
651	757	404
652	757	402
653	758	401
654	758	399
655	759	398
656	759	396
657	760	395
658	761	393
659	761	392
660	762	390
661	762	389
662	763	387
663	763	386
664	764	385
665	765	383
666	766	382
667	768	382
668	770	381
669	770	379
670	771	378
671	772	376
672	773	375
673	773	374
674	774	372
675	774	371
676	775	370
677	776	368
678	776	367
679	777	365
680	777	364
681	778	362
682	778	361
683	779	360
684	781	359
685	783	358
686	784	357
687	786	356
688	787	355
689	787	354
690	788	352
691	789	351
692	789	349
693	790	348
694	790	347
695	791	345
696	791	344
697	792	342
698	793	341
699	793	340
700	794	338
701	796	337
702	797	336
703	798	335
704	798	334
705	799	332
706	800	331
707	800	330
708	801	328
709	801	327
710	802	326
711	802	324
712	803	323
713	803	322
714	804	320
715	805	319
716	805	318
717	806	316
718	806	315
719	807	314
720	808	312
721	808	311
722	810	310
723	811	309
724	812	308
725	813	306
726	813	305
727	814	304
728	814	302
729	815	301
730	815	300
731	816	298
732	816	297
733	817	296
734	817	294
735	818	293
736	819	292
737	819	290
738	820	289
739	820	288
740	821	287
741	821	285
742	822	284
743	822	283
744	823	281
745	825	281
746	826	279
747	826	278
748	827	277
749	828	276
750	828	274
751	829	273
752	829	272
753	830	270
754	830	269
755	831	268
756	831	267
757	832	265
758	833	264
759	833	263
760	834	262
761	834	260
762	835	259
763	836	258
764	836	257
765	837	255
766	837	254
767	839	253
768	840	252
769	841	251
770	842	250
771	843	249
772	843	247
773	844	246
774	845	245
775	845	244
776	846	242
777	846	241
778	847	240
779	848	239
780	848	237
781	849	236
782	849	235
783	850	234
784	850	233
785	851	231
786	852	230
787	854	229
788	856	228
789	857	227
790	858	226
791	859	225
792	859	224
793	860	223
794	860	221
795	861	220
796	862	219
797	862	218
798	863	217
799	863	215
800	864	214
801	865	213
802	866	212
803	867	211
804	868	210
805	868	209
806	869	207
807	870	206
808	870	205
809	871	204
810	871	203
811	872	201
812	873	200
813	873	199
814	874	198
815	874	197
816	875	196
817	875	194
818	876	193
819	876	192
820	877	191
821	878	190
822	878	188
823	879	187
824	879	186
825	881	185
826	882	184
827	883	183
828	883	182
829	884	181
830	885	179
831	885	178
832	886	177
833	886	176
834	887	175
835	887	174
836	888	173
837	888	171
838	889	170
839	890	169
840	890	168
841	891	167
842	891	166
843	892	164
844	892	163
845	893	162
846	894	161
847	895	160
848	896	159
849	897	158
850	898	157
851	898	156
852	899	154
853	899	153
854	900	152
855	900	151
856	901	150
857	902	149
858	902	148
859	903	147
860	903	145
861	904	144
862	904	143
863	905	142
864	906	141
865	906	140
866	907	139
867	907	138
868	908	136
869	909	135
870	911	134
871	911	133
872	912	132
873	913	131
874	913	130
875	914	129
876	914	128
877	915	127
878	915	126
879	916	124
880	916	123
881	917	122
882	918	121
883	918	120
884	919	119
885	919	118
886	920	117
887	920	116
888	921	115
889	922	113
890	922	112
891	923	111
892	923	110
893	926	109
894	926	108
895	927	107
896	928	106
897	929	105
898	930	104
899	930	103
900	931	102
901	932	101
902	932	100
903	933	99
904	934	98
905	935	97
906	936	95
907	936	94
908	937	93
909	938	92
910	940	91
911	941	90
912	942	89
913	943	88
914	944	87
915	944	86
916	945	85
917	946	84
918	947	83
919	947	82
920	948	81
921	949	80
922	950	79
923	950	78
924	951	77
925	951	76
926	952	74
927	952	73
928	954	72
929	955	71
930	956	70
931	956	69
932	957	68
933	958	67
934	958	66
935	959	65
936	960	64
937	960	63
938	961	62
939	961	61
940	962	60
941	963	59
942	964	58
943	964	57
944	965	56
945	966	55
946	971	54
947	972	53
948	973	52
949	974	51
950	975	50
951	975	49
952	976	48
953	977	47
954	977	46
955	978	45
956	978	43
957	979	42
958	980	41
959	980	40
960	981	39
961	981	38
962	982	37
963	984	36
964	985	35
965	985	34
966	986	33
967	986	32
968	987	31
969	988	30
970	988	29
971	989	28
972	989	27
973	990	26
974	990	25
975	991	24
976	992	23
977	992	22
978	993	21
979	993	20
980	994	19
981	994	18
982	995	17
983	995	16
984	996	15
985	998	14
986	999	13
987	1000	12
988	1000	11
989	1001	10
990	1001	9
991	1002	8
992	1002	7
993	1003	6
994	1004	5
995	1004	4
996	1005	3
997	1005	2
998	1006	1
999	1006	0
